,Reviews,Liked
0,"""the room was damp and cold, that shops don't open until 11 and to find a non Indian breakfast is a struggle. """,0
1,"""nice hotel, with a swimming pool, for five great nights""",1
2,"""All that in one area makes for quite a resourceful place""",1
3,"""lots of accommodation, seaside restaurants and shopping opportunities. Even surfing!""",1
4,"""no real menus available for a Christmas meal in the restaurants"" ",0
5,"""improper maintainance""",0
6,"""struggled to park our vehicle""",0
7,"""charged Rs.200 for half an hour which seemed costlier to us""",0
8,"""agency people were perfect and they were on time"" ",1
9,"""We climbed up steps to reach the top. It was so much tiring""",0
10,"""safaris only twice a day""",0
11,"""luxury hotel. it looks amazing""",1
12,"""room was clean and good""",1
13,"""had some excellent guides""",1
14,"""doesnt have a swim up bar."" ",0
15,"""fantastic, wonderful, delightful home stay""",1
16,"""fantastic Hotel"" ",1
17,"""mile-long queue for ticket reservations""",0
18,"""there were absolutely none around at 8am in the morning when I needed one to take me the half-hour journey""",0
19,"""It is seriously stunning for the absolutely enormous room I have here""",1
20,"""wifi is intermittent""",0
21,"""I was given a super-deluxe, temple-view double room for the price of a standard room, and was not disappointed in my stay at the Hotel """,1
22,"""guesthouse, great choice""",1
23,"""prices are high""",0
24,"""Have a bad internet connection""",0
25,"""He's supposed to go at 11:10, but right now I find he has a delay of about 40 minutes""",0
26,"""they have an air-conditioned area where they send me as a tourist immediately""",1
27,"""you cannot pre-book, and need to queue up at 5am on the day to buy a ticket,""",0
28,"""best local restaurant""",1
29,"""As it is far too cold to consider showering, we dress and go to breakfast. This does not go well""",0
30,"""the room/tent is spacious and comfortable"" ",1
31,"""The stench rises like a miasma from hell. The urinal has tiled walls about three feet high""",0
32,"""This comprises some open lockers with keys hanging out. The keys are not used and goods are placed inside and not locked up""",0
33,"""50 minutes later, still no food despite multiple requests""",0
34,"""hotel is a welcoming oasis of calm""",1
35,"""non locking toilet"" ",0
36,"""Ours is called the Ideal Beach Resort and proves very comfortable""",1
37,"""Hotel Mahabs in Mamallapuram was just lovely and right in the centre of town."" ",1
38,"""We were in the dormitory area which was large and comfortable. There were adjacent shower and toilet facilities to our room,""",1
39,"""The rooms were very comfortable and large,""",1
40,"""So here we are at the Carlton Hotel. Full buffet breakfast and dinner, complimentary tour package for 4 hours, 30 minutes boating on the lake, 200 channels of satellite TV plus entertainment action all day long. Bingo at 6 pm!! Did I ment",?
41,"""",1
42,"""We had planned two nights here but the hotel we had booked couldn't process a Visa transaction and we had limited cash.""",0
43,"""Our first night unfortunately we had to sleep in a small downstairs room with the noisy kitchen outside the interior window"" ",0
44,"""after a short queue wait and a few attempts we came away with 2 notes, the maximum we were allowed. Changing these big notes isn't causing to much headache and $40 can go a long way.""",0
45,"""all the restaurants to date didn't serve alcohol so we wandered down to a place called Moonraker's in backpackistan and ordered two large bottles of the local brew called 'British Imperial Lager'"".",0
46,"""but got upgraded for the second night to a much larger room with a balcony/exterior landing."" ",1
47,"""Still no power in the town."" ",0
48,"""They provide the bus, jeep or van depending on the number of people""",1
49,"""At the lake too, there was nothing to fill my appetite and I had to settle for a milk shake""",0
50,"""Hotel Lake View was definitely a very well located and maintained restaurant. There were cottages here which was located next to a lake.""",1
51,"""It's a 'resort' town with lots of development along the beach""",1
52,"""Our hotel in Chennai had Buffet breakfast included in our room rate"" ",1
53,"""Limited power, no Internet, no banks open and credit cards not being processed due to connection problems. """,0
54,"""Both were tricky to find because the signs on the street had blown down."" ",0
55,"""At one stage we had to climb up 4 stories on to the roof of the hotel to try and get a cell signal..a very funny and unusual place to be transacting business.""",0
56,"""There were no ATM's visible at the airport, they were probably in the part of the airport that was missing some of its roof! """,0
