	0
0	"Advertisement

Asia » India » Tamil Nadu » Tirunelveli
July 25th 2012
Published: July 25th 2012


After an evenings practise, we felt we were fully prepared for our sold out performance to what seemed like half of Tirunelveli. It was surreal turning up and being cheered walking through a sea of 7000 school girls, eager to hear our number. We were treated to a performance of their own, at which point the nerves kicked in. After a quick welcoming from the headmistress, we hit the stage and belted out possibly the worst version of 'Oh Happy Day' you will ever not hear - unless you come to our celebration evening and watch the recording! This was followed by an equally painful version of 'Wonderwall'. The students loved it, despite not having a clue what we were singing about!



We then went on a tour of the school where we answered questions the students had and signed autographs (we are really celebrities now!) We exchanged questions and answers and were shocked to find out that there was a class of 170 students! Mr Butterworth would have a heart attack! We then spent the remainder of the afternoon chilling out, recovering from the experience and signing more autographs when getting stopped for them in the street! Another amazing day.

« Previous Entry
Next Entry »
Advertisement"
1	"Advertisement

Asia » India » Tamil Nadu » Tirunelveli
July 22nd 2012
Published: July 22nd 2012


<p>After 4 days of hard grind, a day of rest and recuperation was gratefully received.</p><p>The early morning crew went out for their 6am run. Even at this time the temperture must be 70-80 degrees.</p><p>After breakfast, we all went on a tour of a local temple. None of us were really prepared for the size and majesty of this holy building. We wandered around it for 45 minutes and were all moved and impressed by the scale, craftmanship and reverence in which the indigenous people held it. A great visit was topped off by a meeting with an elephant. For a few ruppees donation he would bless an individual by taking their note in his trunkand then resting it on their head. Unfortunately for Jake he sneezed at him instead.</p><p>After the temple, the group had a chance to do some shopping. A number of the group purchased saris. Quite a few of the males in the group, bought lightweight Indian cotton suits, which they later wore to dinner much to the chef's delight. As the only westerners in sight, we continued to be looked at with a mixture of curiosity, delight and friendliness.</p><p>One of the best bits about the trip so far has been how the students have really taken the initiative in making the most of the experience. A group of the lads had organised a cricket training session for some of the deaf students earlier in the week. Today they organised another 2 hour session in their free-time, which again was a great success. Other students have organised football games against the locals or have taken it upon themselves to offer their help in teaching lessons, such as art. Some have taken it upon themselves to start their working day earlier, beginning at 8am rather than at 10am.</p><p>The feedback from the Principal of the school and from our host has been hugely positive and they've been blown away by how much the students have achieved in such a short amount of time. Praise indeed.</p><p>Tomorrow, we will be visiting a local girls school. 7,000 students attend - over 4 times that of Overton. Pretty daunting in itself. Even more nerve-racking is the fact that we will be attending their whole-school assembly and have been invited to sing a song as part of the assembly. Tonight has been desperately spent learning the words to 'O Happy Day' and fine-tuning our performance. Fingers crossed...</p>

« Previous Entry
Next Entry »
Advertisement"
2	"Advertisement

Asia » India » Tamil Nadu » Tirunelveli
July 20th 2012
Published: July 22nd 2012


Friday - One half of the group continued working on building a kitchen area for a local school. The local press got wind of our endeavours and sent a photographer down to the school to see what was occuring. Celebrity status ensued and a few of the group let their newfound fame go to their heads by trying to hog the camera. The party's divas have now been identified and will be outed at the celebration dinner back in Sutton (14th Sept). Work went really well and the kitchen went from little more than two feet tall to a whopping six feet.

The second group continued to renovate one of the building at Chittenden Deaf School, where we are staying. This meant a great deal of physically demanding jobs, such as smashing plaster of walls, scraping paint off the structure and sanding it down. One thing in particular put the trip in perspective. On the first floor balcony is a bed and a small locked chest. It's pretty much the life's possessions of one of the deaf wardens who works at the school. He was an orphan from birth and was taken in by the school. He has lived there for over 50 years and lives on a metal bed (no matress) with a pillow and a few items locked away in a small chest. It really did help to hit home how lucky we all are.

Both groups worked tirelessly and had some downtime in the late afternoon to head into town to buy some local delicacies - Pringles, Coke and Dairy Milk. One more Project day and then we get a day's break on Sunday.

« Previous Entry
Next Entry »
Advertisement"
3	"Advertisement

Asia » India » Tamil Nadu » Tirunelveli
July 19th 2012
Published: July 19th 2012


So far we have had a brilliant time. All the youngpeople have now experienced working in a bakery and we are now completing two building projects. These consist of, a kitchen and toilet at a local primary school in a near by village and a warden accommodation at the deaf school.



It is very different here, and we feel like we should be on the 'Only way is India' as we have acquired celebrity status for no reason! The food is amazing and everyone has been adventerous at trying everything. We are well looked after in the school we are staying at, and everyone is very appreciative of the work we are doing. The boys have been busy setting up lots of cricket and football tournaments. Although they are one nil down after losing against 400 Indian students!



We have now all ventured into the local town and have experienced how manic it is! The internet cafe only has five computers so if you haven't heard from your son/daughter yet it will be that they haven't had a chance to get in there yet, or they have been too busy having a fabulous time, many of them saying the internet can wait until they get home! Yes really!



We are now off to have a sign language lesson, followed by dinner and then practise for our performance on Sunday to 7000 students! We will update again when we can, and hopefully add some pictures if we work out how to on these computers!

« Previous Entry
Next Entry »
Advertisement"
4	"Advertisement

Asia » India » Tamil Nadu » Tirunelveli
July 18th 2012
Published: July 18th 2012


Hi,



Sorry for the delay in updating - this is the first chance we have had to get on the internet. We have all arrived safely after a long journey. The train ride was amazing and we all thoroughly enjoyed ourselves. We have been very busy visiting the school, playing games with the students etc. We have started on the project today, whilst a group worked in the bakery. Everything is fine, and everyone is well. We will hopefully be able to update more regularly from now on.

« Previous Entry
Next Entry »
Advertisement"
5	"Advertisement

Asia » India » Tamil Nadu » Chennai
July 16th 2012
Published: July 19th 2012


Photo Updates, from 7-16-2012 to 7-18-2012.

« Previous Entry
Next Entry »

Additional photos below
Photos: 48, Displayed: 22

« Back
1
2
3
Next »

Advertisement"
6	"Advertisement

Asia » India » Tamil Nadu » Chennai
June 26th 2012
Published: June 26th 2012


After boarding the flight at 245am in Dubai I ate fruit platter and slept till lading. N was watching movies. (Chak De). Reached at 820am. Kathir was waiting at the airport and met us inside the arrival hall. Waited for the baggage and came home by 1015am.

« Previous Entry

Additional photos below
Photos: 3, Displayed: 3


Advertisement"
7	"Advertisement

Asia » India » Tamil Nadu » Coimbatore
May 18th 2012
Published: May 18th 2012


What is it with ‘non-veg’ restaurants and sleazy rowdy men? Why is it that if an un-escorted girl enters a ‘non-veg’ restaurant post 6pm, then SHE is what’s being served! At least in India.

Well appetites apart, Coimbatore Railway Station has a variety of lodges and accommodation for nearly every type of traveler. I, being one of the lesser value ones, chose a single-occupancy (very fancy word for a not-so-fancy place) room at Raja Lodge, just behind KR Restaurant (a landmark here), for Rs 300/- per night. If I must rate it then I’d give it a 1.5 on 10.

Actually, it depends, if you’re an Indian sportsman then it’s a 6.5, but if not then it’s 1.5. I think every Indian sportsman has stayed in conditions far far worse and even appreciated some of those. We’ve traveled for competitions unreserved in foul smelling general compartments, slept on baggage instead of beds, and bathed in bathrooms with taps for showers and curtains for doors (with holes in them too). So this place is really not that bad…in comparison.

But what was great, even for non-Indian non-sportsmen, was where I stayed in Ooty. Montauban Guest House – once the residence of a French designer called Ettines (after whom the road that the guest house is on is called Ettines Road) who lived in Ooty in the 1920s (Sorry, but that’s about all the history I can deal with for one place) – is my favourite place to stay. After staying there for 6 nights (I could have stayed there for 6 months) at Rs 650/- per night, I have decided to dedicate a few good words to the place.

Its manicured gardens and lawns gives it, and therefore you, a very cared-for air. And although you won’t find on-call butler-suave room-service, if, with kindness, you approach them for any task, it will be diligently and efficiently done ASAP. The rooms are cozy and non-musty smelling – not a spec of dust to be found. They come with proper beds (clean blankets and all), drinking water, tissue, soap, a writing table (with a chair and that’s worth a mention in this country) and a sideboard with plenty of drawers. I love drawers, you never know what you find in them. Oh, and the bathroom is huge and spacious, and tiled, and clean, and western style – with a working flush!!!

I have, now reached the fag end of my tapioca journey, and my jeans have turned from blue to brown. But if you do happen to book a room in one of these lodges opposite the Coimbatore railway station, always try for the top-most floors. You get less peeping-toms, that way.

Dinner was at KR Restaurant, where a sign hiding behind a couple of bicycles reads “Please safe your own vehicles yourself”, and where you will frequently find customers wiping their freshly washed hands and mouth on the curtain that separates the washroom from the restaurant, and where ‘calli flower masala dosas’ are on the menu, and where, if you’re as lucky as I was, you might get to witness your waiter scratching his private parts while he waits to take your order.

If I may say so, it was almost as if he was trying to pick out something rather troublesome quite deeply buried in there. I’m not sure if he was quite so successful, though.

And, if all that hasn’t tempted you enough to step right in, then I’ll also add, that the food wasn’t bad. Do not try the Chinese. It is, and I’m not saying this sarcastically, the best restaurant on that block. 3 on 10.

But during my 6 days in Ooty, I ate at very few restaurants – I’m not as adventurous with food as I am with accommodation, I’m afraid. One which I consistently ate at is Kurunjis – a tiny outdoor restaurant on the main road about 100 meters from Charing Cross Junction – serves clean, yum, cheap and hygienic food, with very courteous waiters. 10 on 10. Another nice place (I have heard) is Shinkows (Chinese).

In Conoor, where my Tapioca friends were staying in their cozy and comfy homestay, I ate at a Chinese restaurant called Dragon something. For one thing the waiter was a young Mongloid-featured lad with a very funky hairdo. That was enough to pull me in. Mongloid men with funky hairdos are one of my all-time favourite dishes. And although he wasn’t on the menu, the food we did order, was quite good; better than the supposedly French restaurant called La Belle Vie where the waiter actually apologized for bringing the dish late because he’d “dropped it” on the way. That’s 3.5 on 10 for the Belle and 6.5 for the Dragon. We topped that with ice cream and hot chocolate from the café coffee day next door and that was excellent 8.5 for CCD.

So, two crisp Rava Roast Dosas, one itchy waiter, one filthy curtain and a safety sign later (of course minus the calli flower dosa) I walked back to my little concrete cave and called it a night.

In the morning I caught my train back to Bombay which started its journey 2 hours behind schedule and changed two engines en-route making us a total of 6 hours late by the time we got into Bombay. Welcome to India.

Conoor Homestay : Phillip: +919895038945

Ooty Montauban : Kathy: 04232442602/ +919843370100

« Previous Entry
Next Entry »
Advertisement"
8	"Advertisement

Asia » India » Tamil Nadu » Coimbatore
April 8th 2012
Published: April 8th 2012


Inaugaration
The Meatless Travelers
The first day of the Ricksaw Run....

Festivities started off at 10:00 AM with a parade of rickshaws around Fort Cochin. A few speeches, including the Chancellor of Cochin, later was the official inaugaration and we were off by 11:00AM!

After an hour of navigating around Cochin city traffic, we finally hit the Highway. Inspite of today being Easter Sunday some spots still had significant bus and truck traffic. Outside of the inevitable damage we are constantly inundating our clutch with, we are trying to ensure our Rickshaw is getting the TLC it deserves with regular stops, ""petrol/oil breaks"" and checking of air pressure. We definitely underestimated the curiosity and excitement of the Indian population when seeing us drive around in a rickshaw, with some cars driving alongside just to get a better look

Tomorrow we set out early for Bangalore, with the goal of reaching there before 6:00 PM

« Previous Entry
Next Entry »

Additional photos below
Photos: 8, Displayed: 8


Advertisement"
9	"Advertisement

Asia » India » Tamil Nadu » Chennai
April 1st 2012
Published: April 26th 2012


Photo 62
Sorry for this late backup, but here it is!

My friend Sepp arrived in the early morning on my birthday, 23.1., in Chennai. Outside the airport it is (like everywhere) extremely loud due to the much traffic that wants to go to or away from the airport. For people that dont want to flight it was forbidden to get into the airport or you have to pay a visitor ticket. Of course, I didnt buy such a ticket, so I had to wait outside. I had the feeling that Sepp was the last passenger who came out. Immediately a taxi driver came to us. We said we want to have a prepaid taxi. He said, yes, of course he is a prepaid taxi driver, 450Rupees. Very funny. If he were a driving a prepaid taxi, he would not have to look for the passengers and besides that I had found out before that it costs only 300 something. So we went to the pre paid taxi stand. The taxi driver joined us. It is very interesting to see that in India they all work together if it is about getting some money from tourists. The guy at the taxi stand
Photo 63
laughed at me as I said that it costs only 300 something, and he said we have to go with the driver and pay 450. Since it was in the middle of the night we didnt want to discuss and we went with the taxi. We had to pay after the ride. I think thats why it is called ""prepaid"" 😊 Sepp was quite afraid when he saw how the taxi driver was driving. Although there was almost nothing on the streets. I said he has to wait until the morning... The driver even didn't know the exact address of our hotel, but I recognized the area and said that we will find the hotel on our own. A Riksha-Driver said he will take us to the hotel for 20 Rupees. Since Sepp didnt want to walk in the middle of the night we agreed. But the Riksha driver had no idea where the hotel was either. However, we arrived finally at our hotel.

The next day many Rikshaw drivers were annoying us. Normally I am always on my bike, so that they don't get the idea to ask me if I need a ride. But here every driver
BILD1804
the family who wanted that we bring their story to the public
asked us and some even followed us for half an hour. When we wanted to ask someone for the way, we had to be careful that no riksha driver was seeing that because else they immediately offered their riksha:""Get in! I will bring you there!"" One riksha man was offering us to bring us to the beach for 10 Rupees. We agreed. He started to show us some temples and so. We said we just want to go to the beach. He said with a few Rupees extra he will do a city tour withe us. No, thank you. When we come to some shops our ride will be free. No, thank you. Just to the beach. That will be 50 Rupees. No, you said 10 Rupees. Nono, 10 Dollars. Thats bullshit. No ride in the city costs 10 Dollars. He said, no ride in the city costs 10 Rupees. So I wanted to get out, but Sepp still wanted to argue. After a while we got out and paid the 10 Rupees. The driver shouted after us: ""Crazy tourists!""And we said ""crazy Indian"". We had no idea where we were, but after a while we found the beach. We
BILD1805
heard that Chennai has the world's largest beach. To have a bath there is not recommended because many litter is put into the sea. We were happy that not only we but also Indian tourists were asked to buy some kitsch or to pay for a picture on a horse. We went to a bike shop area and looked for a bicycle for Sepp. They all had a standard single speed bike but could put some gears on it. Sepp chose a bike with six gears. We were said to take the bike the next afternoon. In the evening we celebrated the arrival of Sepp and my birthday in a bar.

The next day I tried to get new bars for my tent. But most people that we asked even didnt know what a tent is. Although we tried several shops and areas where the people,that did know what a tent was, sent us, we didnt find any tent or even tent bars. I was a bit surprised, that such a huge town (Chennai is the fourth biggest town in India) has no outdoor shops. That was in Teheran a bit different...

We met a homeless family. They
BILD1806
there were their old houses
wanted that we make fotos of them and the poor area. The man was trying to tell us something on Tamil which we couldnt understand. He couldnt speak English. As he recognized that I know some Hindi words he called excitedly his wife who was able to speak Hindi. But my Hindi was not good enough to understand her. He invited us for a tea. Actually we wanted to pay it but he was faster. He led us a whikle around the area and wanted that we make some pictures. After a while he found some youth who translated what he had tried to explain us.Their houses were broken down by the government with no chargeback. He wanted from us that we bring his story to the newspapers. We said that we are just tourists and no reporters. But I promised to make a note in my blog about this. He was very disappointed about that and was going away immediately. We felt very pity with him but we didnt know how to help him.

We were in the cycle shop to get Sepps bike. We were told that the guy who had to build the bike hasnt arrived
Photo 64
this day to work. Ahhh, okay???? One could think that they are not interested in our money. I would have gone to the next shop I think, but Sepp gave them a next chance and we wanted to take it tomorrow noon.No problem! (Of course not, how could we think that it could be a problem?)

In the evening we were in a dance performance.We weren't too excited so we went out in the pause again. There we met a funny old guy. Who said that we have to come tomorrow again, there will be a great singer. We went together to a restaurant. Two women also joined us, the guy was not very lucky with that. He said to me women always make only trouble. The one woman said all the time that she needs some money for the marriage of her daughter. We have heard before that there is still the problem in India that some families are still forced to ruin theirselves for the marriage of their daughter. Although it is already forbidden by law. The guy was ashamed of her and of the situation and wrote on a paper for me, that he has not
BILD1808
we met many people that liked Hitler and the Nazis
enough money for us all. I answered that it is no problem and that we can pay the bill.

The next day we were again at the bike shop. The bike was still not ready they couldnt get the gears on it. Sepp still wanted to stay at that shop and looked for a ready bike that costed much more. He finally bought a bike that was much more expensive than the original one but compared to Germany still really cheap, of course. They had no panniers there, so Sepp had to put his big backpack on the carrier.

We rode out of the city. Respect to Sepp who managed to ride through the mega city with a new bike much luggage, crazy traffic and left traffic. In the evening we stayed in a hotel called farm house which we thought would be quite cheap. No, it was not cheap, it was quite luxury. We said its too expensive but we asked if we can build up our tents there.They offerd us a room for 700R instead of 2800R so we took the room. In the hotel in Chennai I traded my Rough Guide to the new edition
Photo 65
local hooligans
which also was much thinner. I was happy about this, but in the evening I saw, why it was so thin: the pages of much chapters were pulled out.

We went to Mamallapuram where some historical buildings are. There were also many Indian tourists and they all wanted to make pictures from us.

We continued to Pondicherry which wis a french colony. The streets there are often still named in French. Pondicherry seemed to be a bit richer and cleaner as the cities that we have seen before. We stayed along the coast till Nagapattinam and had some nice baths in the Bay of Bengal. One night where we made rough camping a few youths said to us that there it is dangerous because of wild animals. We decided nevertheless to stay there. One guy was joining usand drank some brandy with us. But with the time he was getting more and more excited that it is so dangerous where we are. He was getting louder and started to ennoy us really. He could not really explain what the problem was and said something like: ""Dang-aaa!In-aaaa!Out-aaaa!Tent-aaaa!"" We didnt know how to get rid of them and went into
Photo 66
dance performance in Chennai
the tent. He went away but came a few minutes back.We shooed him away. But after a while he came back and was trying my helmet and twiddled with my bike. I was getting very angry and then he ran panically away. Maybe he just was drunken.

The next day Sepp was in a very bad mood. In his tent it was really wet and cold. He had stomach cramps and diarrhoea and could not sleep. I think the two flat tyres and the 4 kids watching him in the good morning show hasn't raised his mood I think...

We went from the Eastern coast to the Ghats in Western Tamil Nadu. On the way we visited some temples. Always the question: ""May I have a photo, please?"" What we think is quite crazy, is, that many people also want that we make a picture of them. We dont knw them, they dont know us, they wont get the pictures somewhen, but they like it to be photographed. In Trichy (actually Tiruchchirappalli, but since the English colonists couldnt pronounce it, it is just called Trichy) we saw a big nass of pilgrims coming to a little temple.They arrived
Photo 67
with drums and other music and with idols. They smashed coconuts in a container.We learned that from that day on starts a month for a special god of this temple. They start to pilgrimage from here and everywhere in South India to a town called Palani. The next days we have seen thousands of them. There are three main days where they arrive there.

We were often in restaurants. It is so tasty and cheap and there are so many restaurants, that it doesn't make sense to make your own food. There are sometimes so many staffs for so little guests that 5 staffs are standing around our table and give us new water or rice or anything thats going to finish. A meal costs often less than an Euro, so you cant imagine that so many people can live of that. On the other hand they are often confused if you order after the main course something else. They often bring the bill before we have finished and they have to change the bill a few times. As if they want to get rid of us and don't want our money. Others are smarter and recognize that we
Photo 68
eat a lot and offer us after the second portion much other stuff that we have to try. In total we are quite happy that we ride every day, so that we dont have to matter about the amount we eat.

Often when people see us building up our tents (actually, I had no place in India, where at least a few people saw me in the evening or in the morning camping), they warn us or say we cant stay there. They often cant explain why and the most time we insist on staying there and they go away. Maybe they just cannot understand that we rich tourists stay voluntarily at a uncomfortable place.

There are often lakes where the people wash theirselves. One night we were at such a lake and had a nice washing session. Two locals came there and said we cant wash there. They couldnt explain why and we thought now it is too late, we are already ready. The next morning I was there again. In the night I had diarrhoea and I was too slow so that some stuff got on my undertrousers. I wanted to wash me and my clothes
Photo 69
when we are agreed about the direction we can start:)
again in the lake and this time two locals warned me before I was getting in.This place was used as toilet place...Maybe this time it would be the right place for me 😊 but I went to the real washing place they showed me.

Sepp was often moaning that he is exhausted and cant anymore and needs some rest, but was the most time faster than me, especially when it was going upwards. We went to Kodaikanal in the Ghats. It was 2 days very steep upwards. The first day we asked for a hotel. ""In 4 km"". Okay, thats doable. After 5km there was a little village. We asked again. ""Just 5 km upwards."" We were not going for another 5km, so we asked if its not possible to sleep somewhere here. We could sleep behind a school. We thought that we won't be alone there for a long time. But we were not disturbed that night and the morning. We were told that the school starts at 8am, but at 8am nobody was there, so they probably just told us so to that we vanish in time. The landscape around Kodaikanal was amazing. But it also was
Photo 70
quite cold, we had to wear long clothes. In Kodaikanal there was very often power breakdown. In our hotel we had not hot water either, except from 7.30am-8am when we extra were awaked to fill the water in containers. Sepp was very cold in the night, for me it was okay, I had a warm sleeping back... We were offered a better room with electricity and hot water the whole day for 300R extra. We said we dont need the better room, but the next two days Sepp was a bit annoyed especially about not having warmth. We wondered what the locals are doing here in the evening or night. It is getting dark at about 6pm. We found one bar that also closes at 9 or so. One evening we saw a procession with loud music. we learned that there was celebrated the day of St. Thomas. Thats probably what they do. There are so many festivals and processions that you can make party nearly every time 😊 Downhill it was not so great fun as expected! The streets were very bad so that we had to ride very cautious. Due to a big road hole I got a
Photo 71
puncture. There were many monkeys who where quite aggressive. One monkey was offending and hitting me to get some cornflakes that I had in my hands.

We went to Palani where at this time millions of pilgrims come to a special temple. We were in the temple one day after the three main days but it was still very crowded. All the people wanted again that we make pictures of them. The next days we still saw on the roads thousands of pilgrims going to that place. They all are barefoot. The next day we saw a big river were many pilgrims were washing. It was amazing to see the coloured people and clothes in the water. Of course, we also had a bath there!

One evening we were in a bar were a guy joined us. He could not speak a full sentence in English and tried to talk to us in Tamil all the time. We spent him some beer. He was ordering some new drinks for us and wanted also to drink of it. We were a bit annoyed about him and we said to the staff, that he can sit next to us and
Photo 72
drink his beer, but he has to pay his own beer, that we want no common bill but an extra bill for him and for us. The bar man could nearly no English, too, just understood ""bill"" and brought us the bill. We hadn't the intention to pay at that moment and ordered more. After every order they brought us the updated bill. Quite funny!

There is a very tiny train going to another hill station in the ghats, Ooty (actually Udagamandalam, but as many other cities, there is a short form that everybody can pronounce 😊). This train seems to be just for tourists, also many Indian tourists. Although the train was starting very early in the morning, there was a party atmosphere, especially in the neighbour cabin. We didnt stay in Ooty because it is said to be similar to Kodaikanal and we had not so much time anymore. So we rode downhill on the same day. I think it was the steepest descent I ever had. We had to break all the time. That was not so fun.

We went to the Mudumalai National Park. When we arrived there we were first told that it
Photo 73
geckos everywhere
is not allowed to go there with two wheelers. But then we also could get inside and saw also many mopeds in the park. At dusk we made a private jeep tour and the next morning a official bus tour. Then we rode outside again and we realised that that is the best way to go through the park. You dont disturb the animal with your noisy vehicle and can see more animals.

After the park we wanted to go to the neighbour state Kerala. We decided to do a night ride. At dusk we saw a bar and we thought that we can drink a beer first. There were two rooms, one without A/C and one with. The first room seemed to be more fun, there were many people laughing and having fun. The second one was quite boring, it was cold and dark and nobody there. So we wanted to go to the romm without A/C but we couldnt sit down there. We were immediately led to the second room. But after a while it was also quite funny. We made much pictures and discussed nonsense. Some people could speak better Hindi than English so I tried
Photo 74
some Hindi again. From the one beer it became a few and some brandies or whiskys... The bar was closing at 9pm so we still could do our night trip. Sepp had no light but thats normal in India, I have never seen a bike (except mine) with light. The back light even some mopeds or trucks dont have. That night we slept for a few hours under palm trees without our tents.

Our last aim was Calicut at the West coast, the Arabian Sea. We have heard of a resort where you can make boat trips on the backwaters. As we arrived there Sepp could see my face expressing panic because it was very luxurious and seemed to be very expensive. We nevertheless entered. We should sit down on very luxurious seats at the reception. We had some compunctions to sit there because we were so dirty and did not seem to fit to this place. As the reception told us the prices for the boat trips our assumptions were confirmed. It was too expensive for us. But we arranged a date for a Ayurvedic massage for the next day which was really great! After the massage we
Photo 75
decided to go to a cinema. But that was not so easy. We were send from one cinema to the next and they all were closed at that time. Finally we found a cinema with the movie ""Spanish Masala"" in Malayalam. It was quite nice although we havent understood much of the dialogues, of course. We were surprised about the huge, comfortable and very modern cinema. Maybe the best cinema we have seen yet. But the sound was too loud for us. In the middle of that night it was knocking at our door of our hotel room. We first thought that we watched TV too loud, but that was just a staff who started to paint me when we read some newspaper at the reception of the hotel and wanted to finish it.

The last day in Calicut we made a short cycle trip to the nice Kappad beach, where I already have been alone. (Where I first was warned from locals of snakes and was shown another, safe place, and later the police awaked me in the middle of the night to say me that that place is not safe because of thieves)We were lying there in
Photo 76
the sun, so that our stomaches also got a sunburn😊 The water was so warm, that it was not very refreshing to swim there.

We took the train back to Chennai. We had to put our cycles to the parcel office. They couldnt promise that the bikes come with our train to Chennai. We didnt feel very comfortable with this statement! The train was driving the whole night from 8pm to 8am. We had a nice sleeper wagon. We havent thought of a blanket or so and was getting cold in the night. So I could not sleep very well there. Sepp said he could sleep very good. We thought we were already champions with parcel in trains because we aölso had to put our bikes to parcel with the train to Ooty. But we had to learn that Chennai is a bit bigger than Ooty. We had to go from office to office and nobody could tell us were our bikes are. After a while we were told that we have to come back later and see if they are there then. They only arrived at 3pm but they arrived! It took some time to get a hotel,
Photo 77
all hotels are full. This phenomen we also had in the other towns. In germany the hotels would be very lucky if they had so much guests all the time! The room we got was very bad and expensive. One woman was brushing the dust from one corner to the next and wanted to have some tip for that. Even after that, everytime she saw us she was begging. And that in her hotel. I havent seen that before.

While I was taking some money from an ATM, Sepp found a person who was interested to buy his bike. He paid 9000R and the guy wants to pay him 4000R if he gives him the bill. In the evening there was also another interested guy that had paid him 2500R immediately. But he refused. He couldnt find the bill again and the next evening he only got 2000R from the first guy. Better than nothing! He was happy to get rid of it. The last day Sepp was a bit ill. He had to vomit into a dustbin. Nobody noted that. Seems to be quite normal there. We were in a little park with zoo in Chennai and went
Photo 78
early to bed. And again I could leave him much stuff to reduce my luggage. Sepps flight back to Germany was in the morning of the 18.2.

It was a really great time! Thank you so much for your visit!

« Previous Entry
Next Entry »

Additional photos below
Photos: 172, Displayed: 38

« Back
1
2
3
4
5
6
7
8
9
Next »

Advertisement"
